Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,69.3,106,1.8,67.5
CA-003,Alpine County,60.8,126,3.5,57.3
CA-005,Amador County,74.4,125,3.7,70.7
CA-007,Butte County,75.1,118,2.4,72.7
CA-009,Calaveras County,74.4,124,3.1,71.3
CA-011,Colusa County,76.1,113,1.8,74.3
CA-013,Contra Costa County,71.2,115,2.1,69.1
CA-015,Del Norte County,64.2,114,2.1,62.1
CA-017,El Dorado County,70.2,125,3.1,67.1
CA-019,Fresno County,72.1,123,3.6,68.5
CA-021,Glenn County,75,104,1.3,73.7
CA-023,Humboldt County,65.4,112,1.8,63.6
CA-025,Imperial County,92.1,125,3.8,88.3
CA-027,Inyo County,81.1,126,4.6,76.5
CA-029,Kern County,79.2,126,3.6,75.6
CA-031,Kings County,79.8,118,2.8,77
CA-033,Lake County,72.2,122,2.5,69.7
CA-035,Lassen County,64.3,120,2.7,61.6
CA-037,Los Angeles County,75.9,126,4.4,71.5
CA-039,Madera County,72.3,121,2.9,69.4
CA-041,Marin County,61.6,94,1,60.6
CA-043,Mariposa County,71.9,125,3.3,68.6
CA-045,Mendocino County,67.3,118,1.7,65.6
CA-047,Merced County,76.4,115,2.1,74.3
CA-049,Modoc County,63.9,119,3,60.9
CA-051,Mono County,62.3,126,3.9,58.4
CA-053,Monterey County,69.5,119,2.8,66.7
CA-055,Napa County,71.5,113,1.9,69.6
CA-057,Nevada County,68.5,124,3.2,65.3
CA-059,Orange County,73.9,123,3.7,70.2
CA-061,Placer County,69.6,124,3,66.6
CA-063,Plumas County,64,121,2.9,61.1
CA-065,Riverside County,86,126,4.2,81.8
CA-067,Sacramento County,75.5,115,2,73.5
CA-069,San Benito County,72.6,122,3.3,69.3
CA-071,San Bernardino County,86.1,126,4.3,81.8
CA-073,San Diego County,76.5,126,4,72.5
CA-075,San Francisco County,61.6,89,0.7,60.9
CA-077,San Joaquin County,75.2,116,2.1,73.1
CA-079,San Luis Obispo County,72.2,125,3.5,68.7
CA-081,San Mateo County,63.2,106,1.8,61.4
CA-083,Santa Barbara County,69.5,123,4,65.5
CA-085,Santa Clara County,69.8,119,2.8,67
CA-087,Santa Cruz County,64.9,114,2.3,62.6
CA-089,Shasta County,71.8,120,2.9,68.9
CA-091,Sierra County,63.6,124,3.2,60.4
CA-093,Siskiyou County,65.3,120,3.1,62.2
CA-095,Solano County,72.1,103,1.4,70.7
CA-097,Sonoma County,66.2,112,1.7,64.5
CA-099,Stanislaus County,75.6,118,2.3,73.3
CA-101,Sutter County,76.9,111,1.7,75.2
CA-103,Tehama County,74.8,119,2.2,72.6
CA-105,Trinity County,68.4,120,2.7,65.7
CA-107,Tulare County,71.1,125,3.4,67.7
CA-109,Tuolumne County,66.4,124,3,63.4
CA-111,Ventura County,70.3,123,4,66.3
CA-113,Yolo County,74.8,97,1,73.8
CA-115,Yuba County,76,121,2.7,73.3
