Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,71.1,125,3.6,67.5
CA-003,Alpine County,59.1,109,1.9,57.2
CA-005,Amador County,74.3,124,3.6,70.7
CA-007,Butte County,76.3,125,3.6,72.7
CA-009,Calaveras County,74.5,125,3.2,71.3
CA-011,Colusa County,78,125,3.7,74.3
CA-013,Contra Costa County,72.8,125,3.7,69.1
CA-015,Del Norte County,65.5,124,3.3,62.2
CA-017,El Dorado County,70.1,124,3,67.1
CA-019,Fresno County,72.4,126,3.8,68.6
CA-021,Glenn County,77,126,3.2,73.8
CA-023,Humboldt County,66.8,123,3.2,63.6
CA-025,Imperial County,91.4,121,3.1,88.3
CA-027,Inyo County,79.8,121,3.3,76.5
CA-029,Kern County,79.1,124,3.5,75.6
CA-031,Kings County,81.4,126,4.4,77
CA-033,Lake County,73.4,125,3.6,69.8
CA-035,Lassen County,65.2,126,3.6,61.6
CA-037,Los Angeles County,75.5,125,4,71.5
CA-039,Madera County,72.6,124,3.2,69.4
CA-041,Marin County,64.1,124,3.5,60.6
CA-043,Mariposa County,71.7,124,3,68.7
CA-045,Mendocino County,68.9,125,3.3,65.6
CA-047,Merced County,78.1,126,3.8,74.3
CA-049,Modoc County,65.1,126,4.2,60.9
CA-051,Mono County,61.1,119,2.7,58.4
CA-053,Monterey County,70.7,125,4,66.7
CA-055,Napa County,73.2,125,3.6,69.6
CA-057,Nevada County,68.6,125,3.4,65.2
CA-059,Orange County,73.4,120,3.2,70.2
CA-061,Placer County,69.7,125,3,66.7
CA-063,Plumas County,64.8,126,3.7,61.1
CA-065,Riverside County,85,123,3.2,81.8
CA-067,Sacramento County,77.4,125,3.9,73.5
CA-069,San Benito County,73.4,125,4.1,69.3
CA-071,San Bernardino County,84.9,120,3.1,81.8
CA-073,San Diego County,75.5,117,3.1,72.4
CA-075,San Francisco County,64,123,3.2,60.8
CA-077,San Joaquin County,77,125,3.9,73.1
CA-079,San Luis Obispo County,73.2,126,4.5,68.7
CA-081,San Mateo County,65.2,123,3.8,61.4
CA-083,Santa Barbara County,69.8,125,4.3,65.5
CA-085,Santa Clara County,71,125,4,67
CA-087,Santa Cruz County,66.8,124,4.2,62.6
CA-089,Shasta County,73.3,126,4.4,68.9
CA-091,Sierra County,63.8,125,3.4,60.4
CA-093,Siskiyou County,66.5,126,4.3,62.2
CA-095,Solano County,73.9,125,3.2,70.7
CA-097,Sonoma County,68,125,3.5,64.5
CA-099,Stanislaus County,77.1,126,3.8,73.3
CA-101,Sutter County,79.2,126,4.1,75.1
CA-103,Tehama County,76.3,126,3.7,72.6
CA-105,Trinity County,69.7,126,4.1,65.6
CA-107,Tulare County,70.8,122,3.2,67.6
CA-109,Tuolumne County,66,120,2.6,63.4
CA-111,Ventura County,70.7,125,4.4,66.3
CA-113,Yolo County,76.7,125,3,73.7
CA-115,Yuba County,77.2,125,4,73.2
