Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,68.6,90,1,67.6
CA-003,Alpine County,59.8,119,2.5,57.3
CA-005,Amador County,73.1,116,2.4,70.7
CA-007,Butte County,74.2,108,1.5,72.7
CA-009,Calaveras County,73.5,115,2.2,71.3
CA-011,Colusa County,75.5,102,1.2,74.3
CA-013,Contra Costa County,70.4,99,1.3,69.1
CA-015,Del Norte County,63.7,105,1.5,62.2
CA-017,El Dorado County,69.2,115,2.2,67
CA-019,Fresno County,71.5,119,3,68.5
CA-021,Glenn County,74.6,92,0.8,73.8
CA-023,Humboldt County,65.2,109,1.6,63.6
CA-025,Imperial County,91,116,2.7,88.3
CA-027,Inyo County,79.7,119,3.2,76.5
CA-029,Kern County,78.6,120,3,75.6
CA-031,Kings County,79.2,111,2.2,77
CA-033,Lake County,70.7,95,1,69.7
CA-035,Lassen County,64.2,118,2.6,61.6
CA-037,Los Angeles County,75.1,118,3.6,71.5
CA-039,Madera County,72.2,120,2.8,69.4
CA-041,Marin County,60.3,43,-0.3,60.6
CA-043,Mariposa County,71.5,118,2.9,68.6
CA-045,Mendocino County,66.1,77,0.5,65.6
CA-047,Merced County,76.4,115,2.1,74.3
CA-049,Modoc County,63.8,117,2.9,60.9
CA-051,Mono County,61.7,124,3.3,58.4
CA-053,Monterey County,68.1,100,1.3,66.8
CA-055,Napa County,70.3,80,0.7,69.6
CA-057,Nevada County,67.6,117,2.3,65.3
CA-059,Orange County,73.2,117,3.1,70.1
CA-061,Placer County,68.9,117,2.2,66.7
CA-063,Plumas County,63.4,114,2.3,61.1
CA-065,Riverside County,84.7,117,2.9,81.8
CA-067,Sacramento County,75.1,109,1.6,73.5
CA-069,San Benito County,71.6,112,2.3,69.3
CA-071,San Bernardino County,84.6,115,2.9,81.7
CA-073,San Diego County,75.3,116,2.9,72.4
CA-075,San Francisco County,60.4,37,-0.4,60.8
CA-077,San Joaquin County,74.2,97,1,73.2
CA-079,San Luis Obispo County,71.1,116,2.4,68.7
CA-081,San Mateo County,61.7,65,0.3,61.4
CA-083,Santa Barbara County,67.6,110,2.1,65.5
CA-085,Santa Clara County,68.6,101,1.7,66.9
CA-087,Santa Cruz County,63.7,91,1.1,62.6
CA-089,Shasta County,70.8,109,1.9,68.9
CA-091,Sierra County,62.8,115,2.5,60.3
CA-093,Siskiyou County,64.7,114,2.5,62.2
CA-095,Solano County,71.8,91,1,70.8
CA-097,Sonoma County,64.6,60,0.1,64.5
CA-099,Stanislaus County,75,109,1.6,73.4
CA-101,Sutter County,76.8,107,1.6,75.2
CA-103,Tehama County,73.9,105,1.2,72.7
CA-105,Trinity County,67.3,104,1.6,65.7
CA-107,Tulare County,70.6,120,2.9,67.7
CA-109,Tuolumne County,65.8,117,2.4,63.4
CA-111,Ventura County,70,121,3.7,66.3
CA-113,Yolo County,74.7,94,1,73.7
CA-115,Yuba County,75.4,115,2.1,73.3
