Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
CA-001,Alameda County,69.3,106,1.8,67.5
CA-003,Alpine County,58.8,104,1.5,57.3
CA-005,Amador County,72.3,107,1.6,70.7
CA-007,Butte County,73.5,86,0.8,72.7
CA-009,Calaveras County,72.7,104,1.4,71.3
CA-011,Colusa County,75.2,93,0.9,74.3
CA-013,Contra Costa County,70.4,99,1.3,69.1
CA-015,Del Norte County,64.5,118,2.3,62.2
CA-017,El Dorado County,68.6,100,1.5,67.1
CA-019,Fresno County,71.2,116,2.7,68.5
CA-021,Glenn County,74.4,86,0.7,73.7
CA-023,Humboldt County,66.2,121,2.6,63.6
CA-025,Imperial County,90.5,111,2.2,88.3
CA-027,Inyo County,79.4,116,2.9,76.5
CA-029,Kern County,78.1,114,2.5,75.6
CA-031,Kings County,79.4,116,2.3,77.1
CA-033,Lake County,70.5,93,0.7,69.8
CA-035,Lassen County,63.8,113,2.2,61.6
CA-037,Los Angeles County,74.6,113,3.1,71.5
CA-039,Madera County,71.8,115,2.4,69.4
CA-041,Marin County,62,105,1.4,60.6
CA-043,Mariposa County,70.8,112,2.2,68.6
CA-045,Mendocino County,67,112,1.4,65.6
CA-047,Merced County,76.2,110,1.9,74.3
CA-049,Modoc County,63.2,114,2.3,60.9
CA-051,Mono County,61.1,119,2.7,58.4
CA-053,Monterey County,69.1,118,2.3,66.8
CA-055,Napa County,70.9,101,1.2,69.7
CA-057,Nevada County,66.8,106,1.5,65.3
CA-059,Orange County,72,102,1.9,70.1
CA-061,Placer County,68,99,1.4,66.6
CA-063,Plumas County,63.2,110,2.1,61.1
CA-065,Riverside County,84.2,114,2.4,81.8
CA-067,Sacramento County,74.9,105,1.5,73.4
CA-069,San Benito County,71.7,115,2.4,69.3
CA-071,San Bernardino County,84.2,111,2.4,81.8
CA-073,San Diego County,75,114,2.6,72.4
CA-075,San Francisco County,62.5,105,1.7,60.8
CA-077,San Joaquin County,74.3,101,1.2,73.1
CA-079,San Luis Obispo County,71.5,119,2.8,68.7
CA-081,San Mateo County,64,117,2.6,61.4
CA-083,Santa Barbara County,67.8,111,2.3,65.5
CA-085,Santa Clara County,68.8,108,1.9,66.9
CA-087,Santa Cruz County,65.6,121,2.9,62.7
CA-089,Shasta County,70.8,109,1.9,68.9
CA-091,Sierra County,62.3,110,1.9,60.4
CA-093,Siskiyou County,64.8,117,2.6,62.2
CA-095,Solano County,72.6,114,1.8,70.8
CA-097,Sonoma County,65.3,90,0.8,64.5
CA-099,Stanislaus County,74.8,105,1.5,73.3
CA-101,Sutter County,76.5,102,1.3,75.2
CA-103,Tehama County,73.6,92,1,72.6
CA-105,Trinity County,68,116,2.4,65.6
CA-107,Tulare County,70.4,118,2.7,67.7
CA-109,Tuolumne County,64.8,103,1.4,63.4
CA-111,Ventura County,69.8,117,3.5,66.3
CA-113,Yolo County,74.7,94,0.9,73.8
CA-115,Yuba County,74.7,99,1.4,73.3
